Hersteller;Produkt;Produktart;Herstellerseite (geprueft);Datenblatt-PDF (falls oeffentlich);SDS gefunden
"Chem-Trend";"Lusin Alro OL 202 F";"RELEASE_AGENT";"https://de.chemtrend.com/wp-content/uploads/sites/5/2019/05/Trennmittel_Lusin_04.17-web.pdf";"https://de.chemtrend.com/wp-content/uploads/sites/5/2019/05/Trennmittel_Lusin_04.17-web.pdf";"nein"
"Cimcool";"Cimperial 1010";"COOLANT_WATER_MIX";"https://cimcool.com";"https://web.archive.org/web/20130930194601id_/http://www.cimcool.com:80/wp-content/uploads/manage-msds-pif/pif/CIMPERIAL%201010.pdf";"nein"
"Cimcool";"Cimstar 585";"COOLANT_WATER_MIX";"https://cimcool.com.au/PIFs/Cimstar/CIMSTAR_585_AUSPIF.pdf";"https://cimcool.com.au/PIFs/Cimstar/CIMSTAR_585_AUSPIF.pdf";"nein"
"Cimcool";"Cimstar 60C-HFP";"COOLANT_WATER_MIX";"https://products.duboischemicals.com/signature-collection/metalworking-fluids/cimstar-60c-hfp";"https://cdn.mscdirect.com/global/images/ProductDataSheet/pds_sku_1188523_technicaldatasheet_technicalspecifications_spec.pdf";"nein"
"Cimcool";"Cimstar 66";"COOLANT_WATER_MIX";"https://dtsindustrial.com/cimstar-66.html";"";"nein"
"Cimcool";"Cimtech 320";"COOLANT_WATER_MIX";"https://cimcool.com";"https://s3-us-east-2.amazonaws.com/milacron-website-media-offload/wp-content/uploads/2016/04/12194649/cimtech-320.pdf";"nein"
"Condat";"VICAFIL SENJA";"FORMING_OIL";"https://condatcorp.com/press-article/higher-drawing-stability-vicafil-senja";"";"nein"
"Condat";"VICAFIL SL";"WIRE_DRAWING";"https://www.condat-lubricants.com/product/wire-drawing-lubricants-soaps/soluble-lubricants-wet-wire-drawing/";"";"nein"
"Condat";"VICAFIL SP";"WIRE_DRAWING";"https://www.condat-lubricants.com/product/wire-drawing-lubricants-soaps/soluble-lubricants-wet-wire-drawing/";"";"nein"
"Condat";"VICAFIL TFG";"WIRE_DRAWING";"https://www.condat-lubricants.com/product/wire-drawing-lubricants-soaps/wire-drawing-oils-greases/";"";"nein"
"Condat";"VICAFIL TFH";"WIRE_DRAWING";"https://www.condat-lubricants.com/product/wire-drawing-lubricants-soaps/wire-drawing-oils-greases/";"";"nein"
"Cortec";"VpCI-368";"CORROSION_PROTECTION";"https://www.cortecvci.com/products/vpci-high-performance-coatings/vpci-368/";"https://www.cortecvci.com/Publications/PDS/VpCI-368.pdf";"nein"
"Cortec";"VpCI-369";"CORROSION_PROTECTION";"https://www.cortecvci.com/products/vpci-369/";"https://www.cortecvci.com/Publications/PDS/VpCI-369.pdf";"nein"
"DOW";"DOWTHERM A";"HEAT_TRANSFER_OIL";"https://www.dow.com/en-us/pdp.dowtherm-a-heat-transfer-fluid.238000z.html";"";"nein"
"Eastman";"Therminol 66";"HEAT_TRANSFER_OIL";"https://www.eastman.com/en/products/product-detail/71093438/therminol-66-heat-transfer-fluid";"";"nein"
"Eastman";"Therminol VP-1";"HEAT_TRANSFER_OIL";"https://www.eastman.com/en/products/product-detail/71093459/therminol-vp-1-heat-transfer-fluid";"https://productcatalog.eastman.com/tds/ProdDatasheet.aspx?product=71093459";"nein"
"Eastman";"Therminol XP";"HEAT_TRANSFER_OIL";"https://www.eastman.com/en/products/product-detail/71093461/therminol-xp-heat-transfer-fluid";"";"nein"
"Fuchs";"ANTICORIT CPX 3373";"CORROSION_PROTECTION";"https://www.fuchs.com/us/en/product/product/113131-anticorit-cpx-3373/";"";"nein"
"Fuchs";"ANTICORIT DFW 6101";"CORROSION_PROTECTION";"https://www.fuchs.com/us/en/product/product/11940-ANTICORIT-DFW-6101/";"";"nein"
"Fuchs";"ANTICORIT RP 4107 A";"CORROSION_PROTECTION";"https://www.fuchs.com/de/de/produkt/product/147308-ANTICORIT-RP-4107-A/";"";"nein"
"Fuchs";"CASSIDA CHAIN OIL HT 220";"CHAIN_OIL";"https://www.fuchs.com/us/en/product/product/116907-CASSIDA-CHAIN-OIL-HT-220/";"";"nein"
"Fuchs";"CASSIDA CHAIN OIL HTE";"CHAIN_OIL";"https://www.fuchs.com/de/en/product/product/147473-CASSIDA-CHAIN-OIL-HTE/";"";"nein"
"Fuchs";"CASSIDA CHAIN OIL HTX";"CHAIN_OIL";"https://www.fuchs.com/de/en/product/product/147475-CASSIDA-CHAIN-OIL-HTX/";"";"nein"
"Fuchs";"CASSIDA CHAIN OIL XTE";"CHAIN_OIL";"https://www.fuchs.com/us/en/product/product/12742-CASSIDA-CHAIN-OIL-XTE/";"";"nein"
"Fuchs";"ECOCOOL 711";"COOLANT_WATER_MIX";"https://www.fuchs.com/fileadmin/in/Company/ECOCOOL_-_ECOCUT_-_RATAK_-_RENOFORM.pdf";"";"nein"
"Fuchs";"ECOCOOL Global 10";"COOLANT_WATER_MIX";"https://www.fuchs.com/fileadmin/uk/Media/Brochures/Industrial/FUCHS_ECOCOOL_GLOBAL_10.pdf";"";"nein"
"Fuchs";"ECOCOOL R-AFC 1515 JLR";"COOLANT_WATER_MIX";"https://www.fuchs.com/fileadmin/uk/Media/TDS/TDS_ECOCOOL_R_AFC_1515_JLR.pdf";"https://www.fuchs.com/fileadmin/uk/Media/TDS/TDS_ECOCOOL_R_AFC_1515_JLR.pdf";"nein"
"Fuchs";"ECOCOOL S-CO 5";"COOLANT_WATER_MIX";"https://static-content.cromwell.co.uk/pdfs/s/Medusa_Attachments/Fuchs/FCH7403003F_TDS.pdf";"https://static-content.cromwell.co.uk/pdfs/s/Medusa_Attachments/Fuchs/FCH7403003F_TDS.pdf";"nein"
"Fuchs";"ECOCUT 30 EDM";"EDM_FLUID";"https://www.fuchs.com/ca/en/product/product/123482-ECOCUT-30-EDM/";"";"nein"
"Fuchs";"ECOCUT HS";"GRINDING_OIL";"https://www.fuchs.com/de/de/produkt/product/147952-ecocut-hs/";"";"nein"
"Fuchs";"RENEP CGLP 220";"SLIDEWAY_OIL";"https://www.fuchs.com/de/en/product/product/148737-RENEP-CGLP-220/";"https://www.fuchs.com/fileadmin/in/Company/FUCHS-RENEP-Slideway-Oils.pdf";"nein"
"Fuchs";"RENEP CGLP 68";"SLIDEWAY_OIL";"https://www.fuchs.com/de/en/product/product/148739-RENEP-CGLP-68/";"https://www.fuchs.com/fileadmin/in/Company/FUCHS-RENEP-Slideway-Oils.pdf";"nein"
"Fuchs";"RENISO KC 68";"REFRIGERATION_OIL";"https://www.fuchs.com/de/de/produkt/product/148757-RENISO-KC-68/";"";"nein"
"Fuchs";"RENISO S 68";"REFRIGERATION_OIL";"https://www.fuchs.com/de/de/produkt/product/148780-RENISO-S-68/";"";"nein"
"Fuchs";"RENISO UltraCool 68";"REFRIGERATION_OIL";"https://www.fuchs.com/de/de/produkt/product/148811-RENISO-UltraCool-68/";"";"nein"
"Fuchs";"RENOCAST RA 3107";"RELEASE_AGENT";"https://www.fuchs.com/de/de/produkt/product/153250-RENOCAST-RA-3107/";"";"nein"
"Fuchs";"RENOCAST RA 4830 AQUA";"RELEASE_AGENT";"https://www.fuchs.com/de/de/produkt/product/153216-RENOCAST-RA-4830-AQUA/";"";"nein"
"Fuchs";"RENOCLEAN FXM 4005";"ADDITIVE";"https://www.fuchs.com/de/de/produkt/product/148847-RENOCLEAN-FXM-4005/";"";"nein"
"Fuchs";"RENOFORM";"FORMING_OIL";"https://www.fuchs.com";"";"nein"
"Fuchs";"RENOFORM MZAN 51";"FORMING_OIL";"https://www.fuchs.com/fi/en/product/product/136809-RENOFORM-MZAN-51/";"";"nein"
"Fuchs";"RENOLIN 504 VDL 100";"COMPRESSOR_OIL";"https://www.fuchs.com/de/en/product/product/149001-RENOLIN-504/";"";"nein"
"Fuchs";"RENOLIN SPINDLE OIL #10";"SPINDLE_OIL";"https://www.fuchs.com/ca/en/product/product/128461-RENOLIN-SPINDLE-OIL-10/";"";"nein"
"Fuchs";"RENOLIN THERM 250";"HEAT_TRANSFER_OIL";"https://www.fuchs.com/de/en/product/product/149343-RENOLIN-THERM-250/";"";"nein"
"Fuchs";"RENOLIN THERM 320";"HEAT_TRANSFER_OIL";"https://www.fuchs.com/de/en/product/product/149345-RENOLIN-THERM-320/";"";"nein"
"Fuchs";"RENOLIN THERM 330 S";"HEAT_TRANSFER_OIL";"https://www.fuchs.com/de/en/product/product/149347-RENOLIN-THERM-330-S/";"";"nein"
"Fuchs";"RENOLIN UNISYN OL 100";"COMPRESSOR_OIL";"https://www.fuchs.com/de/en/product/product/149361-RENOLIN-UNISYN-OL-100/";"";"nein"
"Fuchs";"RENOLIN ZAF B HT PLUS Low Viscosity Series";"SPINDLE_OIL";"https://www.fuchs.com/us/en/product/product/122667-renolin-zaf-b-ht-plus-low-viscosity-series/";"";"nein"
"Fuchs";"RENOQUENCH QH 10 MC";"QUENCHING_OIL";"https://www.fuchs.com/de/en/product/product/126702-thermisol-qh-10-mc/";"";"nein"
"Fuchs";"RENOQUENCH QH 35 MC";"QUENCHING_OIL";"https://www.fuchs.com/de/en/product/product/149840-THERMISOL-QH-35-MC/";"";"nein"
"Henkel";"BONDERITE C-AK 470";"CLEANER";"https://next.henkel-adhesives.com/us/en/products/industrial-cleaners/central-pdp.html/bonderite-c-ak-470/BP000000232751.html";"";"nein"
"Henkel";"BONDERITE C-NE 5088";"CLEANER";"https://next.henkel-adhesives.com/us/en/products/industrial-cleaners/central-pdp.html/bonderite-c-ne-5088/BP000000160188.html";"";"nein"
"Klüber Lubrication";"Klüber Summit HySyn FG 46";"COMPRESSOR_OIL";"https://www.klueber.com/us/en/products-service/products/klueber-summit-hysyn-fg-46/9923/";"";"nein"
"Klüber Lubrication";"Klüber Summit RHT 68";"REFRIGERATION_OIL";"https://www.klueber.com/us/en/products-service/products/klueber-summit-rht-68/304207/";"";"nein"
"Klüber Lubrication";"Klüber Summit SH 46";"COMPRESSOR_OIL";"https://www.klueber.com/us/en/products-service/products/klueber-summit-sh-46/9885/";"";"nein"
"Klüber Lubrication";"Klüberfood NH1 CH 2-220";"CHAIN_OIL";"https://www.klueber.com/us/en/products-service/products/klueberfood-nh1-ch-2-220/9954/";"https://www.qualitybearingsonline.com/content/Lubricants/MSDS%20and%20TDS%20PDFs/Kluber/Kl%C3%BCberfood_NH1_CH_2-150_CH_2-220_EN_en.pdf";"nein"
"Klüber Lubrication";"Klüberfood NH1 CH 2-220 Plus";"CHAIN_OIL";"https://www.klueber.com/us/en/products-service/products/klueberfood-nh1-ch-2-220-plus/9830/";"";"nein"
"Klüber Lubrication";"Klüberoil Y F 100";"CHAIN_OIL";"https://www.klueber.com/us/en/products-service/products/klueberoil-y-f-100/9882/";"";"nein"
"Klüber Lubrication";"Klübersynth CH 2-100";"CHAIN_OIL";"https://www.klueber.com/de/de/produkte-service/produkte/kluebersynth-ch-2-100/10747/";"";"nein"
